Volatility Model,Hedging Strategy,Mean Cost,Std Cost,Objective Function (mean)
Constant,DH,0.297,0.2792,2.7438
Constant,DDPG,0.5401,0.4678,4.8776
SABR,DH,0.2945,0.2684,2.7027
SABR,DDPG,0.5096,0.4536,4.6861
Heston,DH,0.1421,0.2041,3.6225
Heston,DDPG,0.2875,0.3976,7.0384
