Volatility Model,Hedging Strategy,Mean Cost,Std Cost,Objective Function (mean)
Constant,DH,0.2362,0.1906,4.071
Constant,PPO,0.6005,0.3902,9.3211
SABR,DH,0.2294,0.194,4.0783
SABR,PPO,0.5508,0.3659,8.636
Heston,DH,0.2792,0.2831,13.2227
Heston,PPO,0.4135,0.4533,20.8176
