Volatility Model,Hedging Strategy,Mean Cost,Std Cost,Objective Function (mean)
Constant,DH,0.297,0.2797,2.7465
Constant,PPO,0.3815,0.3682,3.5879
SABR,DH,0.2939,0.2686,2.7019
SABR,PPO,0.3691,0.3541,3.481
Heston,DH,0.1245,0.203,3.7958
Heston,PPO,0.1582,0.2872,5.2472
