Volatility Model,Hedging Strategy,Mean Cost,Std Cost,Objective Function (mean)
Constant,DH,0.7863,0.483,19.3936
Constant,PPO,4.4113,2.585,107.0675
SABR,DH,0.8298,0.4887,20.1675
SABR,PPO,4.2184,2.4427,102.1738
Heston,DH,0.4249,0.2917,20.2913
Heston,PPO,2.2825,1.3386,102.1264
