Volatility Model,Hedging Strategy,Mean Cost,Std Cost,Objective Function (mean)
Constant,DH,5.2966,2.8197,75.0921
Constant,PPO,0.0159,0.7445,8.9276
SABR,DH,4.6868,2.3293,64.757
SABR,PPO,0.499,0.9661,15.3874
Heston,DH,1.1669,0.7107,43.1995
Heston,PPO,0.0326,0.4811,14.5548
