Volatility Model,Hedging Strategy,Mean Cost,Std Cost,Objective Function (mean)
Constant,DH,0.2363,0.1906,4.0719
Constant,TD3,-0.1553,0.2707,1.9828
SABR,DH,0.2294,0.1939,4.0758
SABR,TD3,-0.1812,0.258,1.6234
Heston,DH,0.2796,0.2835,13.2279
Heston,TD3,0.0412,0.4568,14.0454
