Volatility Model,Hedging Strategy,Mean Cost,Std Cost,Objective Function (mean)
Constant,DH,0.297,0.2792,2.7438
Constant,DDPG,1.0384,0.6664,7.5703
SABR,DH,0.2945,0.2684,2.7027
SABR,DDPG,1.0557,0.6579,7.6612
Heston,DH,0.1243,0.203,3.7957
Heston,DDPG,0.4718,0.4052,9.4218
