Volatility Model,Hedging Strategy,Mean Cost,Std Cost,Objective Function (mean)
Constant,DH,0.297,0.2797,2.7465
Constant,SAC,1.6217,1.0465,12.3109
SABR,DH,0.2939,0.2686,2.7019
SABR,SAC,1.576,0.9944,11.9147
Heston,DH,0.142,0.2043,3.6236
Heston,SAC,0.8503,0.5931,14.1205
