Volatility Model,Hedging Strategy,Mean Cost,Std Cost,Objective Function (mean)
Constant,DH,1.5726,0.9805,11.5586
Constant,SAC,14.3289,8.4505,102.3739
SABR,DH,1.5534,0.9678,11.5241
SABR,SAC,14.1029,8.2998,101.4578
Heston,DH,0.665,0.4659,11.9014
Heston,SAC,6.1274,3.6181,100.7922
