Volatility Model,Hedging Strategy,Mean Cost,Std Cost,Objective Function (mean)
Constant,DH,1.5728,0.9804,11.5565
Constant,TD3,2.1756,1.5403,16.9178
SABR,DH,1.5548,0.969,11.5364
SABR,TD3,2.2661,1.5535,17.392
Heston,DH,0.6641,0.4649,11.8894
Heston,TD3,1.0312,0.8193,19.6618
