Volatility Model,Hedging Strategy,Mean Cost,Std Cost,Objective Function (mean)
Constant,DH,1.5723,0.9802,11.5506
Constant,DDPG,0.0783,0.5806,3.7054
SABR,DH,1.555,0.9692,11.5389
SABR,DDPG,-0.0114,0.5222,3.0506
Heston,DH,0.664,0.465,11.8843
Heston,DDPG,-0.0333,0.5223,6.6605
