Volatility Model,Hedging Strategy,Mean Cost,Std Cost,Objective Function (mean)
Constant,DH,0.297,0.2794,2.7466
Constant,PPO,3.077,1.7729,21.8324
SABR,DH,0.2943,0.2681,2.6998
SABR,PPO,3.0406,1.7576,21.758
Heston,DH,0.1423,0.2043,3.6255
Heston,PPO,1.4768,0.9084,22.5836
