Volatility Model,Hedging Strategy,Mean Cost,Std Cost,Objective Function (mean)
Constant,DH,5.2987,2.8211,75.1479
Constant,TD3,93.5201,49.6638,1327.9237
SABR,DH,4.6914,2.3316,64.8095
SABR,TD3,94.0587,50.4594,1345.6773
Heston,DH,1.1662,0.7104,43.1764
Heston,TD3,41.3737,23.5038,1485.268
