Volatility Model,Hedging Strategy,Mean Cost,Std Cost,Objective Function (mean)
Constant,DH,0.3106,0.2292,5.1553
Constant,PPO,7.3602,4.1625,107.2389
SABR,DH,0.2943,0.235,5.1277
SABR,PPO,7.2155,4.0942,105.5216
Heston,DH,0.1159,0.1506,6.5869
Heston,PPO,2.827,1.6072,100.7472
