Volatility Model,Hedging Strategy,Mean Cost,Std Cost,Objective Function (mean)
Constant,DH,1.5047,0.8355,21.7537
Constant,DDPG,1.1778,0.7128,17.7433
SABR,DH,1.3285,0.7084,18.9477
SABR,DDPG,1.0147,0.6235,15.468
Heston,DH,0.237,0.1736,9.6213
Heston,DDPG,0.1437,0.1695,7.6902
