Volatility Model,Hedging Strategy,Mean Cost,Std Cost,Objective Function (mean)
Constant,DH,0.2972,0.2796,2.7474
Constant,TD3,0.9312,0.7701,7.6
SABR,DH,0.2944,0.2683,2.7012
SABR,TD3,0.9629,0.7667,7.7769
Heston,DH,0.1246,0.2029,3.7978
Heston,TD3,0.5231,0.4958,10.8019
