Volatility Model,Hedging Strategy,Mean Cost,Std Cost,Objective Function (mean)
Constant,DH,1.5733,0.981,11.5548
Constant,PPO,1.1538,0.7442,8.7015
SABR,DH,1.553,0.9677,11.5256
SABR,PPO,1.0406,0.6717,7.9285
Heston,DH,0.6642,0.4649,11.8834
Heston,PPO,0.4385,0.4198,9.4313
