Volatility Model,Hedging Strategy,Mean Cost,Std Cost,Objective Function (mean)
Constant,DH,0.297,0.2794,2.7466
Constant,SAC,0.5893,0.5981,5.7335
SABR,DH,0.2943,0.2681,2.6998
SABR,SAC,0.627,0.5916,5.8469
Heston,DH,0.1248,0.2033,3.8013
Heston,SAC,0.2829,0.4192,8.1813
